year,month,day,temperature,_id
2014,4,12,+11,5e7ac44493d299b2e849cfb7
2014,4,13,+15,5e7ac44493d299b2e849cfb8
2014,4,14,+19,5e7ac44493d299b2e849cfb9
2014,4,15,+5,5e7ac44493d299b2e849cfba
2014,4,16,+6,5e7ac44493d299b2e849cfbb
2014,4,17,+7,5e7ac44493d299b2e849cfbc
2014,4,18,+7,5e7ac44493d299b2e849cfbd
2014,4,19,+12,5e7ac44493d299b2e849cfbe
2014,4,20,+15,5e7ac44493d299b2e849cfbf
2014,4,21,+14,5e7ac44493d299b2e849cfc0
2014,4,22,+15,5e7ac44493d299b2e849cfc1
2014,4,23,+21,5e7ac44493d299b2e849cfc2
2014,4,24,+25,5e7ac44493d299b2e849cfc3
2014,4,25,+20,5e7ac44493d299b2e849cfc4
2014,4,26,+25,5e7ac44493d299b2e849cfc5
2014,4,27,+10,5e7ac44493d299b2e849cfc6
2014,4,28,+15,5e7ac44493d299b2e849cfc7
2014,4,29,+21,5e7ac44493d299b2e849cfc8
2014,4,30,+26,5e7ac44493d299b2e849cfc9
2014,5,1,+25,5e7ac44493d299b2e849cfca
2014,5,2,+16,5e7ac44493d299b2e849cfcb
2014,5,3,+8,5e7ac44493d299b2e849cfcc
2014,5,4,+4,5e7ac44493d299b2e849cfcd
2014,5,5,+12,5e7ac44493d299b2e849cfce
2014,5,6,+7,5e7ac44493d299b2e849cfcf
2014,5,7,+9,5e7ac44493d299b2e849cfd0
2014,5,8,+15,5e7ac44493d299b2e849cfd1
2014,5,9,+21,5e7ac44493d299b2e849cfd2
2014,5,10,+27,5e7ac44493d299b2e849cfd3
2014,5,11,+24,5e7ac44493d299b2e849cfd4
2014,5,12,+18,5e7ac44493d299b2e849cfd5
2014,5,13,+13,5e7ac44493d299b2e849cfd6
2014,5,14,+12,5e7ac44493d299b2e849cfd7
2014,5,15,+10,5e7ac44493d299b2e849cfd8
2014,5,16,+11,5e7ac44493d299b2e849cfd9
2014,5,17,+16,5e7ac44493d299b2e849cfda
2014,5,18,+16,5e7ac44493d299b2e849cfdb
2014,5,19,+20,5e7ac44493d299b2e849cfdc
2014,5,20,+22,5e7ac44493d299b2e849cfdd
2014,5,21,+21,5e7ac44493d299b2e849cfde
2014,5,22,+22,5e7ac44493d299b2e849cfdf
2014,5,23,+20,5e7ac44493d299b2e849cfe0
2014,5,24,+20,5e7ac44493d299b2e849cfe1
2014,5,25,+16,5e7ac44493d299b2e849cfe2
2014,5,26,+10,5e7ac44493d299b2e849cfe3
2014,5,27,+12,5e7ac44493d299b2e849cfe4
2014,5,28,+18,5e7ac44493d299b2e849cfe5
2014,5,29,+13,5e7ac44493d299b2e849cfe6
2014,5,30,+19,5e7ac44493d299b2e849cfe7
2014,5,31,+25,5e7ac44493d299b2e849cfe8
2014,6,1,+24,5e7ac44493d299b2e849cfe9
2014,6,2,+30,5e7ac44493d299b2e849cfea
2014,6,3,+29,5e7ac44493d299b2e849cfeb
2014,6,4,+24,5e7ac44493d299b2e849cfec
2014,6,5,+29,5e7ac44493d299b2e849cfed
2014,6,6,+26,5e7ac44493d299b2e849cfee
2014,6,7,+24,5e7ac44493d299b2e849cfef
2014,6,8,+25,5e7ac44493d299b2e849cff0
2014,6,9,+23,5e7ac44493d299b2e849cff1
2014,6,10,+24,5e7ac44493d299b2e849cff2
2014,6,11,+20,5e7ac44493d299b2e849cff3
2014,6,12,+22,5e7ac44493d299b2e849cff4
2014,6,13,+17,5e7ac44493d299b2e849cff5
2014,6,14,+15,5e7ac44493d299b2e849cff6
2014,6,15,+13,5e7ac44493d299b2e849cff7
2014,6,16,+16,5e7ac44493d299b2e849cff8
2014,6,17,+20,5e7ac44493d299b2e849cff9
2014,6,18,+20,5e7ac44493d299b2e849cffa
2014,6,19,+21,5e7ac44493d299b2e849cffb
2014,6,20,+22,5e7ac44493d299b2e849cffc
2014,6,21,+26,5e7ac44493d299b2e849cffd
2014,6,22,+24,5e7ac44493d299b2e849cffe
2014,6,23,+26,5e7ac44493d299b2e849cfff
2014,6,24,+30,5e7ac44493d299b2e849d000
2014,6,25,+28,5e7ac44493d299b2e849d001
2014,6,26,+24,5e7ac44493d299b2e849d002
2014,6,27,+18,5e7ac44493d299b2e849d003
2014,6,28,+26,5e7ac44493d299b2e849d004
2014,6,29,+22,5e7ac44493d299b2e849d005
2014,6,30,+23,5e7ac44493d299b2e849d006
2014,7,1,+26,5e7ac44493d299b2e849d007
2014,7,2,+29,5e7ac44493d299b2e849d008
2014,7,3,+30,5e7ac44493d299b2e849d009
2014,7,4,+30,5e7ac44493d299b2e849d00a
2014,7,5,+27,5e7ac44493d299b2e849d00b
2014,7,6,+28,5e7ac44493d299b2e849d00c
2014,7,7,+24,5e7ac44493d299b2e849d00d
2014,7,8,+27,5e7ac44493d299b2e849d00e
2014,7,9,+25,5e7ac44493d299b2e849d00f
2014,7,10,+24,5e7ac44493d299b2e849d010
2014,7,11,+23,5e7ac44493d299b2e849d011
2014,7,12,+20,5e7ac44493d299b2e849d012
2014,7,13,+21,5e7ac44493d299b2e849d013
2014,7,14,+20,5e7ac44493d299b2e849d014
2014,7,15,+21,5e7ac44493d299b2e849d015
2014,7,16,+27,5e7ac44493d299b2e849d016
2014,7,17,+26,5e7ac44493d299b2e849d017
2014,7,18,+25,5e7ac44493d299b2e849d018
2014,7,19,+24,5e7ac44493d299b2e849d019
2014,7,20,+23,5e7ac44493d299b2e849d01a
2014,7,21,+21,5e7ac44493d299b2e849d01b
2014,7,22,+24,5e7ac44493d299b2e849d01c
2014,7,23,+26,5e7ac44493d299b2e849d01d
2014,7,24,+23,5e7ac44493d299b2e849d01e
2014,7,25,+23,5e7ac44493d299b2e849d01f
2014,7,26,+26,5e7ac44493d299b2e849d020
2014,7,27,+28,5e7ac44493d299b2e849d021
2014,7,28,+28,5e7ac44493d299b2e849d022
2014,7,29,+27,5e7ac44493d299b2e849d023
2014,7,30,+27,5e7ac44493d299b2e849d024
2014,7,31,+25,5e7ac44493d299b2e849d025
2014,8,1,+29,5e7ac44493d299b2e849d026
2014,8,2,+28,5e7ac44493d299b2e849d027
2014,8,3,+26,5e7ac44493d299b2e849d028
2014,8,4,+26,5e7ac44493d299b2e849d029
2014,8,5,+22,5e7ac44493d299b2e849d02a
2014,8,6,+17,5e7ac44493d299b2e849d02b
2014,8,7,+25,5e7ac44493d299b2e849d02c
2014,8,8,+23,5e7ac44493d299b2e849d02d
2014,8,9,+26,5e7ac44493d299b2e849d02e
2014,8,10,+26,5e7ac44493d299b2e849d02f
2014,8,11,+23,5e7ac44493d299b2e849d030
2014,8,12,+18,5e7ac44493d299b2e849d031
2014,8,13,+22,5e7ac44493d299b2e849d032
2014,8,14,+24,5e7ac44493d299b2e849d033
2014,8,15,+26,5e7ac44493d299b2e849d034
2014,8,16,+27,5e7ac44493d299b2e849d035
2014,8,17,+22,5e7ac44493d299b2e849d036
2014,8,18,+24,5e7ac44493d299b2e849d037
2014,8,19,+26,5e7ac44493d299b2e849d038
2014,8,20,+26,5e7ac44493d299b2e849d039
2014,8,21,+25,5e7ac44493d299b2e849d03a
2014,8,22,+27,5e7ac44493d299b2e849d03b
2014,8,23,+26,5e7ac44493d299b2e849d03c
2014,8,24,+23,5e7ac44493d299b2e849d03d
2014,8,25,+23,5e7ac44493d299b2e849d03e
2014,8,26,+21,5e7ac44493d299b2e849d03f
2014,8,27,+24,5e7ac44493d299b2e849d040
2014,8,28,+25,5e7ac44493d299b2e849d041
2014,8,29,+26,5e7ac44493d299b2e849d042
2014,8,30,+27,5e7ac44493d299b2e849d043
2014,8,31,+27,5e7ac44493d299b2e849d044
2014,9,1,+28,5e7ac44493d299b2e849d045
2014,9,2,+27,5e7ac44493d299b2e849d046
2014,9,3,+27,5e7ac44493d299b2e849d047
2014,9,4,+16,5e7ac44493d299b2e849d048
2014,9,5,+21,5e7ac44493d299b2e849d049
2014,9,6,+21,5e7ac44493d299b2e849d04a
2014,9,7,+20,5e7ac44493d299b2e849d04b
2014,9,8,+23,5e7ac44493d299b2e849d04c
2014,9,9,+21,5e7ac44493d299b2e849d04d
2014,9,10,+16,5e7ac44493d299b2e849d04e
2014,9,11,+20,5e7ac44493d299b2e849d04f
2014,9,12,+22,5e7ac44493d299b2e849d050
2014,9,13,+24,5e7ac44493d299b2e849d051
2014,9,14,+24,5e7ac44493d299b2e849d052
2014,9,15,+17,5e7ac44493d299b2e849d053
2014,9,16,+16,5e7ac44493d299b2e849d054
2014,9,17,+12,5e7ac44493d299b2e849d055
2014,9,18,+19,5e7ac44493d299b2e849d056
2014,9,19,+17,5e7ac44493d299b2e849d057
2014,9,20,+19,5e7ac44493d299b2e849d058
2014,9,21,+23,5e7ac44493d299b2e849d059
2014,9,22,+21,5e7ac44493d299b2e849d05a
2014,9,23,+17,5e7ac44493d299b2e849d05b
2014,9,24,+12,5e7ac44493d299b2e849d05c
2014,9,25,+18,5e7ac44493d299b2e849d05d
2014,9,26,+21,5e7ac44493d299b2e849d05e
2014,9,27,+12,5e7ac44493d299b2e849d05f
2014,9,28,+18,5e7ac44493d299b2e849d060
2014,9,29,+9,5e7ac44493d299b2e849d061
2014,9,30,+10,5e7ac44493d299b2e849d062
2014,10,1,+13,5e7ac44493d299b2e849d063
2014,10,2,+12,5e7ac44493d299b2e849d064
2014,10,3,+9,5e7ac44493d299b2e849d065
2014,10,4,+10,5e7ac44493d299b2e849d066
2014,10,5,+11,5e7ac44493d299b2e849d067
2014,10,6,+12,5e7ac44493d299b2e849d068
2014,10,7,+14,5e7ac44493d299b2e849d069
2014,10,8,+11,5e7ac44493d299b2e849d06a
2014,10,9,+7,5e7ac44493d299b2e849d06b
2014,10,10,+10,5e7ac44493d299b2e849d06c
2014,10,11,+10,5e7ac44493d299b2e849d06d
2014,10,12,+12,5e7ac44493d299b2e849d06e
